signal,method,sample_idx,value
vib_normal_0hp,ORIGINAL,95,0.040263
vib_normal_0hp,ORIGINAL,96,0.086367
vib_normal_0hp,ORIGINAL,97,0.124961
vib_normal_0hp,ORIGINAL,98,0.134974
vib_normal_0hp,ORIGINAL,99,0.098466
vib_normal_0hp,ORIGINAL,100,0.020236
vib_normal_0hp,ORIGINAL,101,-0.069886
vib_normal_0hp,ORIGINAL,102,-0.131219
vib_normal_0hp,ORIGINAL,103,-0.133931
vib_normal_0hp,ORIGINAL,104,-0.083863
vib_normal_0hp,ORIGINAL,105,0.001043
vib_normal_0hp,ORIGINAL,106,0.062585
vib_normal_0hp,ORIGINAL,107,0.10097
vib_normal_0hp,ORIGINAL,108,0.144362
vib_normal_0hp,ORIGINAL,109,0.168353
vib_normal_0hp,ORIGINAL,110,0.154584
vib_normal_0hp,ORIGINAL,111,0.084489
vib_normal_0hp,ORIGINAL,112,-0.021905
vib_normal_0hp,ORIGINAL,113,-0.108897
vib_normal_0hp,ORIGINAL,114,-0.132471
vib_normal_0hp,ORIGINAL,115,-0.098258
vib_normal_0hp,ORIGINAL,116,-0.035256
vib_normal_0hp,ORIGINAL,117,0.050902
vib_normal_0hp,ORIGINAL,118,0.129967
vib_normal_0hp,ORIGINAL,119,0.185459
vib_normal_0hp,ORIGINAL,120,0.217794
vib_normal_0hp,ORIGINAL,121,0.209658
vib_normal_0hp,ORIGINAL,122,0.161051
vib_normal_0hp,ORIGINAL,123,0.08741
vib_normal_0hp,ORIGINAL,124,0.011682
vib_normal_0hp,ORIGINAL,125,-0.04068
vib_normal_0hp,ORIGINAL,126,-0.035047
vib_normal_0hp,ORIGINAL,127,0.009179
vib_normal_0hp,ORIGINAL,128,0.045687
vib_normal_0hp,ORIGINAL,129,0.07677
vib_normal_0hp,ORIGINAL,130,0.097632
vib_normal_0hp,ORIGINAL,131,0.114947
vib_normal_0hp,ORIGINAL,132,0.1356
vib_normal_0hp,ORIGINAL,133,0.117033
vib_normal_0hp,ORIGINAL,134,0.061124
vib_normal_0hp,ORIGINAL,135,-0.018775
vib_normal_0hp,ORIGINAL,136,-0.088662
vib_normal_0hp,ORIGINAL,137,-0.096589
vib_normal_0hp,ORIGINAL,138,-0.070929
vib_normal_0hp,ORIGINAL,139,-0.024825
vib_normal_0hp,ORIGINAL,140,0.025868
vib_normal_0hp,ORIGINAL,141,0.053197
vib_normal_0hp,ORIGINAL,142,0.071972
vib_normal_0hp,ORIGINAL,143,0.08282
vib_normal_0hp,ORIGINAL,144,0.078022
vib_normal_0hp,ORIGINAL,145,0.044644
vib_normal_0hp,ORIGINAL,146,-0.027329
vib_normal_0hp,ORIGINAL,147,-0.118911
vib_normal_0hp,ORIGINAL,148,-0.176906
vib_normal_0hp,ORIGINAL,149,-0.178783
vib_normal_0hp,ORIGINAL,150,-0.148117
vib_normal_0hp,ORIGINAL,151,-0.092834
vib_normal_0hp,ORIGINAL,152,-0.03922
vib_normal_0hp,ORIGINAL,153,0.00146
vib_normal_0hp,ORIGINAL,154,0.043809
vib_normal_0hp,ORIGINAL,155,0.080734
vib_normal_0hp,ORIGINAL,156,0.075727
vib_normal_0hp,ORIGINAL,157,0.018984
vib_normal_0hp,ORIGINAL,158,-0.061124
vib_normal_0hp,ORIGINAL,159,-0.134557
vib_normal_0hp,ORIGINAL,160,-0.16877
vib_normal_0hp,ORIGINAL,161,-0.155627
vib_normal_0hp,ORIGINAL,162,-0.127673
vib_normal_0hp,ORIGINAL,163,-0.102222
vib_normal_0hp,ORIGINAL,164,-0.070512
vib_normal_0hp,ORIGINAL,165,-0.049233
vib_normal_0hp,ORIGINAL,166,-0.035465
vib_normal_0hp,ORIGINAL,167,-0.043392
vib_normal_0hp,ORIGINAL,168,-0.075727
vib_normal_0hp,ORIGINAL,169,-0.118076
vib_normal_0hp,ORIGINAL,170,-0.16126
vib_normal_0hp,ORIGINAL,171,-0.163972
vib_normal_0hp,ORIGINAL,172,-0.119119
vib_normal_0hp,ORIGINAL,173,-0.046313
vib_normal_0hp,ORIGINAL,174,0.017524
vib_normal_0hp,ORIGINAL,175,0.051945
vib_normal_0hp,ORIGINAL,176,0.073433
vib_normal_0hp,ORIGINAL,177,0.086367
vib_normal_0hp,ORIGINAL,178,0.074893
vib_normal_0hp,ORIGINAL,179,0.054031
vib_normal_0hp,ORIGINAL,180,0.010639
vib_normal_0hp,ORIGINAL,181,-0.042558
vib_normal_0hp,ORIGINAL,182,-0.053614
vib_normal_0hp,ORIGINAL,183,-0.041723
vib_normal_0hp,ORIGINAL,184,-0.009805
vib_normal_0hp,ORIGINAL,185,0.017315
vib_normal_0hp,ORIGINAL,186,0.044644
vib_normal_0hp,ORIGINAL,187,0.073641
vib_normal_0hp,ORIGINAL,188,0.093042
vib_normal_0hp,ORIGINAL,189,0.124961
vib_normal_0hp,ORIGINAL,190,0.133097
vib_normal_0hp,ORIGINAL,191,0.107437
vib_normal_0hp,ORIGINAL,192,0.05883
vib_normal_0hp,ORIGINAL,193,0.016063
vib_normal_0hp,ORIGINAL,194,0.016063
vib_normal_0hp,ORIGINAL,195,0.052988
vib_normal_0hp,ORIGINAL,196,0.085324
vib_normal_0hp,ORIGINAL,197,0.100135
vib_normal_0hp,ORIGINAL,198,0.105977
vib_normal_0hp,ORIGINAL,199,0.103265
vib_normal_0hp,ORIGINAL,200,0.093877
vib_normal_0hp,ORIGINAL,201,0.061542
vib_normal_0hp,ORIGINAL,202,0.014603
vib_normal_0hp,ORIGINAL,203,-0.053406
vib_normal_0hp,ORIGINAL,204,-0.118911
vib_normal_0hp,ORIGINAL,205,-0.13706
vib_normal_0hp,ORIGINAL,206,-0.094503
vib_normal_0hp,ORIGINAL,207,-0.020653
vib_normal_0hp,ORIGINAL,208,0.035465
vib_normal_0hp,ORIGINAL,209,0.085532
vib_normal_0hp,ORIGINAL,210,0.132054
vib_normal_0hp,ORIGINAL,211,0.162511
vib_normal_0hp,ORIGINAL,212,0.159382
vib_normal_0hp,ORIGINAL,213,0.119745
vib_normal_0hp,ORIGINAL,214,0.059873
vib_normal_0hp,ORIGINAL,215,-0.021696
vib_normal_0hp,ORIGINAL,216,-0.088453
vib_normal_0hp,ORIGINAL,217,-0.113278
vib_normal_0hp,ORIGINAL,218,-0.097841
vib_normal_0hp,ORIGINAL,219,-0.058204
vib_normal_0hp,ORIGINAL,220,-0.021487
vib_normal_0hp,ORIGINAL,221,0.01961
vib_normal_0hp,ORIGINAL,222,0.062167
vib_normal_0hp,ORIGINAL,223,0.086158
vib_normal_0hp,ORIGINAL,224,0.091791
vib_normal_0hp,ORIGINAL,225,0.063419
vib_normal_0hp,ORIGINAL,226,0.012308
vib_normal_0hp,ORIGINAL,227,-0.021905
vib_normal_0hp,ORIGINAL,228,-0.037759
vib_normal_0hp,ORIGINAL,229,-0.040263
vib_normal_0hp,ORIGINAL,230,-0.03922
vib_normal_0hp,ORIGINAL,231,-0.039846
vib_normal_0hp,ORIGINAL,232,-0.042766
vib_normal_0hp,ORIGINAL,233,-0.036508
vib_normal_0hp,ORIGINAL,234,-0.022322
vib_normal_0hp,ORIGINAL,235,-0.019818
vib_normal_0hp,ORIGINAL,236,-0.033378
vib_normal_0hp,ORIGINAL,237,-0.066131
vib_normal_0hp,ORIGINAL,238,-0.095963
vib_normal_0hp,ORIGINAL,239,-0.105977
vib_normal_0hp,ORIGINAL,240,-0.086575
vib_normal_0hp,ORIGINAL,241,-0.042975
vib_normal_0hp,ORIGINAL,242,-0.022739
vib_normal_0hp,ORIGINAL,243,-0.008345
vib_normal_0hp,ORIGINAL,244,0.023991
vib_normal_0hp,ORIGINAL,245,0.056743
vib_normal_0hp,ORIGINAL,246,0.08136
vib_normal_0hp,ORIGINAL,247,0.065297
vib_normal_0hp,ORIGINAL,248,0.01502
vib_normal_0hp,ORIGINAL,249,-0.034839
vib_normal_0hp,ORIGINAL,250,-0.06321
vib_normal_0hp,ORIGINAL,251,-0.045478
vib_normal_0hp,ORIGINAL,252,0.006258
vib_normal_0hp,ORIGINAL,253,0.057578
vib_normal_0hp,ORIGINAL,254,0.088453
vib_normal_0hp,ORIGINAL,255,0.095963
vib_normal_0hp,ORIGINAL,256,0.106602
vib_normal_0hp,ORIGINAL,257,0.127881
vib_normal_0hp,ORIGINAL,258,0.12809
vib_normal_0hp,ORIGINAL,259,0.101387
vib_normal_0hp,ORIGINAL,260,0.056535
vib_normal_0hp,ORIGINAL,261,0.015438
vib_normal_0hp,ORIGINAL,262,0.014812
vib_normal_0hp,ORIGINAL,263,0.058204
vib_normal_0hp,ORIGINAL,264,0.092417
vib_normal_0hp,ORIGINAL,265,0.100553
vib_normal_0hp,ORIGINAL,266,0.102222
vib_normal_0hp,ORIGINAL,267,0.109523
vib_normal_0hp,ORIGINAL,268,0.138729
vib_normal_0hp,ORIGINAL,269,0.158756
vib_normal_0hp,ORIGINAL,270,0.145822
vib_normal_0hp,ORIGINAL,271,0.098049
vib_normal_0hp,ORIGINAL,272,0.034422
vib_normal_0hp,ORIGINAL,273,-0.008553
vib_normal_0hp,ORIGINAL,274,-0.021905
vib_normal_0hp,ORIGINAL,275,-0.02107
vib_normal_0hp,ORIGINAL,276,-0.015855
vib_normal_0hp,ORIGINAL,277,-0.011265
vib_normal_0hp,ORIGINAL,278,-0.002712
vib_normal_0hp,ORIGINAL,279,0.036299
vib_normal_0hp,ORIGINAL,280,0.088662
vib_normal_0hp,ORIGINAL,281,0.124335
vib_normal_0hp,ORIGINAL,282,0.114321
vib_normal_0hp,ORIGINAL,283,0.070721
vib_normal_0hp,ORIGINAL,284,0.01502
vib_normal_0hp,ORIGINAL,285,-0.028163
vib_normal_0hp,ORIGINAL,286,-0.008553
vib_normal_0hp,ORIGINAL,287,0.026703
vib_normal_0hp,ORIGINAL,288,0.032753
vib_normal_0hp,ORIGINAL,289,0.028163
vib_normal_0hp,ORIGINAL,290,0.028372
vib_normal_0hp,ORIGINAL,291,0.053823
vib_normal_0hp,ORIGINAL,292,0.076562
vib_normal_0hp,ORIGINAL,293,0.059038
vib_normal_0hp,ORIGINAL,294,0.014186
vib_normal_0hp,ORIGINAL,295,-0.038802
vib_normal_0hp,ORIGINAL,296,-0.059038
vib_normal_0hp,ORIGINAL,297,-0.038594
vib_normal_0hp,ORIGINAL,298,-0.00897
vib_normal_0hp,ORIGINAL,299,0.001252
vib_normal_0hp,ORIGINAL,300,-0.012934
vib_normal_0hp,ORIGINAL,301,-0.022739
vib_normal_0hp,ORIGINAL,302,-0.010848
vib_normal_0hp,ORIGINAL,303,0.021696
vib_normal_0hp,ORIGINAL,304,0.034213
vib_normal_0hp,ORIGINAL,305,0.003964
vib_normal_0hp,ORIGINAL,306,-0.050276
vib_normal_0hp,ORIGINAL,307,-0.091165
vib_normal_0hp,ORIGINAL,308,-0.08595
vib_normal_0hp,ORIGINAL,309,-0.071346
vib_normal_0hp,ORIGINAL,310,-0.06321
vib_normal_0hp,ORIGINAL,311,-0.059873
vib_normal_0hp,ORIGINAL,312,-0.073433
vib_normal_0hp,ORIGINAL,313,-0.066757
vib_normal_0hp,ORIGINAL,314,-0.036299
vib_normal_0hp,ORIGINAL,315,-0.005424
vib_normal_0hp,ORIGINAL,316,0.011265
vib_normal_0hp,ORIGINAL,317,-0.004798
vib_normal_0hp,ORIGINAL,318,-0.03171
vib_normal_0hp,ORIGINAL,319,-0.038385
vib_normal_0hp,ORIGINAL,320,-0.021905
vib_normal_0hp,ORIGINAL,321,-0.000626
vib_normal_0hp,ORIGINAL,322,0.012517
vib_normal_0hp,ORIGINAL,323,0.022739
vib_normal_0hp,ORIGINAL,324,0.041097
vib_normal_0hp,ORIGINAL,325,0.068009
vib_normal_0hp,ORIGINAL,326,0.084906
vib_normal_0hp,ORIGINAL,327,0.095963
vib_normal_0hp,ORIGINAL,328,0.0799
vib_normal_0hp,ORIGINAL,329,0.015229
vib_normal_0hp,ORIGINAL,330,-0.038594
vib_normal_0hp,ORIGINAL,331,-0.038385
vib_normal_0hp,ORIGINAL,332,-0.005007
vib_normal_0hp,ORIGINAL,333,0.017315
vib_normal_0hp,ORIGINAL,334,0.014603
vib_normal_0hp,ORIGINAL,335,0.029415
vib_normal_0hp,ORIGINAL,336,0.065922
vib_normal_0hp,ORIGINAL,337,0.095129
vib_normal_0hp,ORIGINAL,338,0.117242
vib_normal_0hp,ORIGINAL,339,0.105768
vib_normal_0hp,ORIGINAL,340,0.069678
vib_normal_0hp,ORIGINAL,341,0.03171
vib_normal_0hp,ORIGINAL,342,0.012308
vib_normal_0hp,ORIGINAL,343,0.037134
vib_normal_0hp,ORIGINAL,344,0.055909
vib_normal_0hp,ORIGINAL,345,0.045478
vib_normal_0hp,ORIGINAL,346,0.032753
vib_normal_0hp,ORIGINAL,347,0.032753
vib_normal_0hp,ORIGINAL,348,0.043392
vib_normal_0hp,ORIGINAL,349,0.043183
vib_normal_0hp,ORIGINAL,350,0.042349
vib_normal_0hp,ORIGINAL,351,0.031501
vib_normal_0hp,ORIGINAL,352,-0.002295
vib_normal_0hp,ORIGINAL,353,-0.016898
vib_normal_0hp,ORIGINAL,354,0.008136
vib_normal_0hp,ORIGINAL,355,0.04214
vib_normal_0hp,ORIGINAL,356,0.063836
vib_normal_0hp,ORIGINAL,357,0.075102
vib_normal_0hp,ORIGINAL,358,0.072598
vib_normal_0hp,ORIGINAL,359,0.086993
vib_normal_0hp,ORIGINAL,360,0.103682
vib_normal_0hp,ORIGINAL,361,0.091791
vib_normal_0hp,ORIGINAL,362,0.041723
vib_normal_0hp,ORIGINAL,363,-0.041097
vib_normal_0hp,ORIGINAL,364,-0.097215
vib_normal_0hp,ORIGINAL,365,-0.102847
vib_normal_0hp,ORIGINAL,366,-0.072807
vib_normal_0hp,ORIGINAL,367,-0.032961
vib_normal_0hp,ORIGINAL,368,-0.00459
vib_normal_0hp,ORIGINAL,369,0.010848
vib_normal_0hp,ORIGINAL,370,0.036299
vib_normal_0hp,ORIGINAL,371,0.070929
vib_normal_0hp,ORIGINAL,372,0.08595
vib_normal_0hp,ORIGINAL,373,0.076353
vib_normal_0hp,ORIGINAL,374,0.037968
vib_normal_0hp,ORIGINAL,375,-0.023574
vib_normal_0hp,ORIGINAL,376,-0.063836
vib_normal_0hp,ORIGINAL,377,-0.056326
vib_normal_0hp,ORIGINAL,378,-0.03171
vib_normal_0hp,ORIGINAL,379,-0.019193
vib_normal_0hp,ORIGINAL,380,-0.023156
vib_normal_0hp,ORIGINAL,381,-0.026494
vib_normal_0hp,ORIGINAL,382,-0.008553
vib_normal_0hp,ORIGINAL,383,0.041306
vib_normal_0hp,ORIGINAL,384,0.068009
vib_normal_0hp,ORIGINAL,385,0.046104
vib_normal_0hp,ORIGINAL,386,0.007719
vib_normal_0hp,ORIGINAL,387,-0.016689
vib_normal_0hp,ORIGINAL,388,0.007302
vib_normal_0hp,ORIGINAL,389,0.043809
vib_normal_0hp,ORIGINAL,390,0.071346
vib_normal_0hp,ORIGINAL,391,0.084489
vib_normal_0hp,ORIGINAL,392,0.070512
vib_normal_0hp,ORIGINAL,393,0.069469
vib_normal_0hp,ORIGINAL,394,0.089496
vib_normal_0hp,ORIGINAL,395,0.104308
vib_normal_0hp,ORIGINAL,396,0.077396
vib_normal_0hp,ORIGINAL,397,0.005215
vib_normal_0hp,ORIGINAL,398,-0.043809
vib_normal_0hp,ORIGINAL,399,-0.061333
vib_normal_0hp,ORIGINAL,400,-0.036925
vib_normal_0hp,ORIGINAL,401,0.00459
vib_normal_0hp,ORIGINAL,402,0.014603
vib_normal_0hp,ORIGINAL,403,0.014394
vib_normal_0hp,ORIGINAL,404,-0.018984
vib_normal_0hp,ORIGINAL,405,-0.025242
vib_normal_0hp,ORIGINAL,406,-0.001252
vib_normal_0hp,ORIGINAL,407,-0.009596
vib_normal_0hp,ORIGINAL,408,-0.03317
vib_normal_0hp,ORIGINAL,409,-0.073224
vib_normal_0hp,ORIGINAL,410,-0.081986
vib_normal_0hp,ORIGINAL,411,-0.042975
vib_normal_0hp,ORIGINAL,412,0
vib_normal_0hp,ORIGINAL,413,0.022739
vib_normal_0hp,ORIGINAL,414,0.009179
vib_normal_0hp,ORIGINAL,415,-0.027954
vib_normal_0hp,ORIGINAL,416,-0.05278
vib_normal_0hp,ORIGINAL,417,-0.041932
vib_normal_0hp,ORIGINAL,418,-0.011057
vib_normal_0hp,ORIGINAL,419,-0.009596
vib_normal_0hp,ORIGINAL,420,-0.023991
vib_normal_0hp,ORIGINAL,421,-0.013769
vib_normal_0hp,ORIGINAL,422,0.024825
vib_normal_0hp,ORIGINAL,423,0.078857
vib_normal_0hp,ORIGINAL,424,0.101596
vib_normal_0hp,ORIGINAL,425,0.101178
vib_normal_0hp,ORIGINAL,426,0.070929
vib_normal_0hp,ORIGINAL,427,0.024199
vib_normal_0hp,ORIGINAL,428,0.004381
vib_normal_0hp,ORIGINAL,429,0.012517
vib_normal_0hp,ORIGINAL,430,0.042975
vib_normal_0hp,ORIGINAL,431,0.026286
vib_normal_0hp,ORIGINAL,432,-0.00897
vib_normal_0hp,ORIGINAL,433,-0.014186
vib_normal_0hp,ORIGINAL,434,-0.000417
vib_normal_0hp,ORIGINAL,435,0.020236
vib_normal_0hp,ORIGINAL,436,0.00146
vib_normal_0hp,ORIGINAL,437,-0.046521
vib_normal_0hp,ORIGINAL,438,-0.100135
vib_normal_0hp,ORIGINAL,439,-0.124126
vib_normal_0hp,ORIGINAL,440,-0.097423
vib_normal_0hp,ORIGINAL,441,-0.060081
vib_normal_0hp,ORIGINAL,442,-0.047773
vib_normal_0hp,ORIGINAL,443,-0.056743
vib_normal_0hp,ORIGINAL,444,-0.06634
vib_normal_0hp,ORIGINAL,445,-0.061542
vib_normal_0hp,ORIGINAL,446,-0.039428
vib_normal_0hp,ORIGINAL,447,-0.026286
vib_normal_0hp,ORIGINAL,448,-0.050068
vib_normal_0hp,ORIGINAL,449,-0.106811
vib_normal_0hp,ORIGINAL,450,-0.166475
vib_normal_0hp,ORIGINAL,451,-0.179826
vib_normal_0hp,ORIGINAL,452,-0.146239
vib_normal_0hp,ORIGINAL,453,-0.111818
vib_normal_0hp,ORIGINAL,454,-0.067174
vib_normal_0hp,ORIGINAL,455,-0.041306
vib_normal_0hp,ORIGINAL,456,-0.018358
vib_normal_0hp,ORIGINAL,457,0.025868
vib_normal_0hp,ORIGINAL,458,0.054031
vib_normal_0hp,ORIGINAL,459,0.064045
vib_normal_0hp,ORIGINAL,460,0.008345
vib_normal_0hp,ORIGINAL,461,-0.074267
vib_normal_0hp,ORIGINAL,462,-0.109732
vib_normal_0hp,ORIGINAL,463,-0.108689
vib_normal_0hp,ORIGINAL,464,-0.078022
vib_normal_0hp,ORIGINAL,465,-0.040889
vib_normal_0hp,ORIGINAL,466,-0.00459
vib_normal_0hp,ORIGINAL,467,0.03317
vib_normal_0hp,ORIGINAL,468,0.069469
vib_normal_0hp,ORIGINAL,469,0.094711
vib_normal_0hp,ORIGINAL,470,0.094086
vib_normal_0hp,ORIGINAL,471,0.068634
vib_normal_0hp,ORIGINAL,472,0.013351
vib_normal_0hp,ORIGINAL,473,-0.026494
vib_normal_0hp,ORIGINAL,474,-0.014394
vib_normal_0hp,ORIGINAL,475,0.021696
vib_normal_0hp,ORIGINAL,476,0.065297
vib_normal_0hp,ORIGINAL,477,0.083446
vib_normal_0hp,ORIGINAL,478,0.094711
vib_normal_0hp,ORIGINAL,479,0.107646
vib_normal_0hp,ORIGINAL,480,0.112861
vib_normal_0hp,ORIGINAL,481,0.129759
vib_normal_0hp,ORIGINAL,482,0.110358
vib_normal_0hp,ORIGINAL,483,0.063628
vib_normal_0hp,ORIGINAL,484,0.0121
vib_normal_0hp,ORIGINAL,485,-0.010431
vib_normal_0hp,ORIGINAL,486,0.02107
vib_normal_0hp,ORIGINAL,487,0.056952
vib_normal_0hp,ORIGINAL,488,0.099092
vib_normal_0hp,ORIGINAL,489,0.132054
vib_normal_0hp,ORIGINAL,490,0.158756
vib_normal_0hp,ORIGINAL,491,0.192135
vib_normal_0hp,ORIGINAL,492,0.184416
vib_normal_0hp,ORIGINAL,493,0.152081
vib_normal_0hp,ORIGINAL,494,0.089287
vib_normal_0hp,ORIGINAL,495,0.004798
vib_normal_0hp,ORIGINAL,496,-0.037134
vib_normal_0hp,ORIGINAL,497,-0.041723
vib_normal_0hp,ORIGINAL,498,-0.003546
vib_normal_0hp,ORIGINAL,499,0.04214
vib_normal_0hp,ORIGINAL,500,0.063628
vib_normal_0hp,ORIGINAL,501,0.074684
vib_normal_0hp,ORIGINAL,502,0.089287
vib_normal_0hp,ORIGINAL,503,0.118911
vib_normal_0hp,ORIGINAL,504,0.110566
vib_normal_0hp,ORIGINAL,505,0.065714
vib_normal_0hp,ORIGINAL,506,0.00459
vib_normal_0hp,ORIGINAL,507,-0.054449
vib_normal_0hp,ORIGINAL,508,-0.066966
vib_normal_0hp,ORIGINAL,509,-0.048607
vib_normal_0hp,ORIGINAL,510,-0.002295
vib_normal_0hp,ORIGINAL,511,0.049233
vib_normal_0hp,ORIGINAL,512,0.077396
vib_normal_0hp,ORIGINAL,513,0.096589
vib_normal_0hp,ORIGINAL,514,0.098258
vib_normal_0hp,ORIGINAL,515,0.083863
vib_normal_0hp,ORIGINAL,516,0.03609
vib_normal_0hp,ORIGINAL,517,-0.037759
vib_normal_0hp,ORIGINAL,518,-0.093877
vib_normal_0hp,ORIGINAL,519,-0.117659
vib_normal_0hp,ORIGINAL,520,-0.089496
vib_normal_0hp,ORIGINAL,521,-0.025868
vib_normal_0hp,ORIGINAL,522,0.048399
vib_normal_0hp,ORIGINAL,523,0.112235
vib_normal_0hp,ORIGINAL,524,0.144988
vib_normal_0hp,ORIGINAL,525,0.169813
vib_normal_0hp,ORIGINAL,526,0.162929
vib_normal_0hp,ORIGINAL,527,0.108897
vib_normal_0hp,ORIGINAL,528,0.02107
vib_normal_0hp,ORIGINAL,529,-0.082403
vib_normal_0hp,ORIGINAL,530,-0.139146
vib_normal_0hp,ORIGINAL,531,-0.13706
vib_normal_0hp,ORIGINAL,532,-0.096172
vib_normal_0hp,ORIGINAL,533,-0.046313
vib_normal_0hp,ORIGINAL,534,-0.000834
vib_normal_0hp,ORIGINAL,535,0.032753
vib_normal_0hp,ORIGINAL,536,0.04819
vib_normal_0hp,ORIGINAL,537,0.064045
vib_normal_0hp,ORIGINAL,538,0.057161
vib_normal_0hp,ORIGINAL,539,0.007302
vib_normal_0hp,ORIGINAL,540,-0.064254
vib_normal_0hp,ORIGINAL,541,-0.12809
vib_normal_0hp,ORIGINAL,542,-0.159382
vib_normal_0hp,ORIGINAL,543,-0.14457
vib_normal_0hp,ORIGINAL,544,-0.089913
vib_normal_0hp,ORIGINAL,545,-0.022322
vib_normal_0hp,ORIGINAL,546,0.03463
vib_normal_0hp,ORIGINAL,547,0.07677
vib_normal_0hp,ORIGINAL,548,0.108897
