signal,method,bin,norm_freq,magnitude
vib_normal_0hp,ORIGINAL,129,0.251953,0.321845
vib_normal_0hp,ORIGINAL,130,0.253906,0.129325
vib_normal_0hp,ORIGINAL,131,0.255859,0.246618
vib_normal_0hp,ORIGINAL,132,0.257812,0.0768191
vib_normal_0hp,ORIGINAL,133,0.259766,0.14726
vib_normal_0hp,ORIGINAL,134,0.261719,0.0841626
vib_normal_0hp,ORIGINAL,135,0.263672,0.228289
vib_normal_0hp,ORIGINAL,136,0.265625,0.209429
vib_normal_0hp,ORIGINAL,137,0.267578,0.238383
vib_normal_0hp,ORIGINAL,138,0.269531,0.138593
vib_normal_0hp,ORIGINAL,139,0.271484,0.0481494
vib_normal_0hp,ORIGINAL,140,0.273438,0.0500746
vib_normal_0hp,ORIGINAL,141,0.275391,0.0794325
vib_normal_0hp,ORIGINAL,142,0.277344,0.130837
vib_normal_0hp,ORIGINAL,143,0.279297,0.100739
vib_normal_0hp,ORIGINAL,144,0.28125,0.0952135
vib_normal_0hp,ORIGINAL,145,0.283203,0.0867407
vib_normal_0hp,ORIGINAL,146,0.285156,0.102836
vib_normal_0hp,ORIGINAL,147,0.287109,0.260314
vib_normal_0hp,ORIGINAL,148,0.289062,0.0440973
vib_normal_0hp,ORIGINAL,149,0.291016,0.0518784
vib_normal_0hp,ORIGINAL,150,0.292969,0.0812145
vib_normal_0hp,ORIGINAL,151,0.294922,0.0878037
vib_normal_0hp,ORIGINAL,152,0.296875,0.0660638
vib_normal_0hp,ORIGINAL,153,0.298828,0.11178
vib_normal_0hp,ORIGINAL,154,0.300781,0.0884677
vib_normal_0hp,ORIGINAL,155,0.302734,0.021151
vib_normal_0hp,ORIGINAL,156,0.304688,0.0200174
vib_normal_0hp,ORIGINAL,157,0.306641,0.0827019
vib_normal_0hp,ORIGINAL,158,0.308594,0.0955905
vib_normal_0hp,ORIGINAL,159,0.310547,0.0602656
vib_normal_0hp,ORIGINAL,160,0.3125,0.0708419
vib_normal_0hp,ORIGINAL,161,0.314453,0.0350091
vib_normal_0hp,ORIGINAL,162,0.316406,0.0750043
vib_normal_0hp,ORIGINAL,163,0.318359,0.0647007
vib_normal_0hp,ORIGINAL,164,0.320312,0.0874493
vib_normal_0hp,ORIGINAL,165,0.322266,0.0844902
vib_normal_0hp,ORIGINAL,166,0.324219,0.0393391
vib_normal_0hp,ORIGINAL,167,0.326172,0.0674748
vib_normal_0hp,ORIGINAL,168,0.328125,0.0850962
vib_normal_0hp,ORIGINAL,169,0.330078,0.0443069
vib_normal_0hp,ORIGINAL,170,0.332031,0.0208505
vib_normal_0hp,ORIGINAL,171,0.333984,0.0568402
vib_normal_0hp,ORIGINAL,172,0.335938,0.0704012
vib_normal_0hp,ORIGINAL,173,0.337891,0.0377871
vib_normal_0hp,ORIGINAL,174,0.339844,0.0419204
vib_normal_0hp,ORIGINAL,175,0.341797,0.0834686
vib_normal_0hp,ORIGINAL,176,0.34375,0.095084
vib_normal_0hp,ORIGINAL,177,0.345703,0.109424
vib_normal_0hp,ORIGINAL,178,0.347656,0.0713768
vib_normal_0hp,ORIGINAL,179,0.349609,0.102968
vib_normal_0hp,ORIGINAL,180,0.351562,0.109586
vib_normal_0hp,ORIGINAL,181,0.353516,0.0641657
vib_normal_0hp,ORIGINAL,182,0.355469,0.0928745
vib_normal_0hp,ORIGINAL,183,0.357422,0.0642248
vib_normal_0hp,ORIGINAL,184,0.359375,0.0829099
vib_normal_0hp,ORIGINAL,185,0.361328,0.00864603
vib_normal_0hp,ORIGINAL,186,0.363281,0.0231268
vib_normal_0hp,ORIGINAL,187,0.365234,0.0562174
vib_normal_0hp,ORIGINAL,188,0.367188,0.0817237
vib_normal_0hp,ORIGINAL,189,0.369141,0.163662
vib_normal_0hp,ORIGINAL,190,0.371094,0.198884
vib_normal_0hp,ORIGINAL,191,0.373047,0.0244334
vib_normal_0hp,ORIGINAL,192,0.375,0.0935058
vib_normal_0hp,ORIGINAL,193,0.376953,0.0205836
vib_normal_0hp,ORIGINAL,194,0.378906,0.120257
vib_normal_0hp,ORIGINAL,195,0.380859,0.0558255
vib_normal_0hp,ORIGINAL,196,0.382812,0.0787436
vib_normal_0hp,ORIGINAL,197,0.384766,0.0575584
vib_normal_0hp,ORIGINAL,198,0.386719,0.0383178
vib_normal_0hp,ORIGINAL,199,0.388672,0.103222
vib_normal_0hp,ORIGINAL,200,0.390625,0.0312722
vib_normal_0hp,ORIGINAL,201,0.392578,0.0246822
vib_normal_0hp,ORIGINAL,202,0.394531,0.0554107
vib_normal_0hp,ORIGINAL,203,0.396484,0.0217972
vib_normal_0hp,ORIGINAL,204,0.398438,0.131751
vib_normal_0hp,ORIGINAL,205,0.400391,0.209107
vib_normal_0hp,ORIGINAL,206,0.402344,0.0816993
vib_normal_0hp,ORIGINAL,207,0.404297,0.147683
vib_normal_0hp,ORIGINAL,208,0.40625,0.082585
vib_normal_0hp,ORIGINAL,209,0.408203,0.114318
vib_normal_0hp,ORIGINAL,210,0.410156,0.246078
vib_normal_0hp,ORIGINAL,211,0.412109,0.228088
vib_normal_0hp,ORIGINAL,212,0.414062,0.05446
vib_normal_0hp,ORIGINAL,213,0.416016,0.0572588
vib_normal_0hp,ORIGINAL,214,0.417969,0.0724473
vib_normal_0hp,ORIGINAL,215,0.419922,0.0514922
vib_normal_0hp,ORIGINAL,216,0.421875,0.0128706
vib_normal_0hp,ORIGINAL,217,0.423828,0.0391065
vib_normal_0hp,ORIGINAL,218,0.425781,0.0327513
vib_normal_0hp,ORIGINAL,219,0.427734,0.0424059
vib_normal_0hp,ORIGINAL,220,0.429688,0.0253187
vib_normal_0hp,ORIGINAL,221,0.431641,0.0145088
vib_normal_0hp,ORIGINAL,222,0.433594,0.00999244
vib_normal_0hp,ORIGINAL,223,0.435547,0.0525136
vib_normal_0hp,ORIGINAL,224,0.4375,0.0450238
vib_normal_0hp,ORIGINAL,225,0.439453,0.0254329
vib_normal_0hp,ORIGINAL,226,0.441406,0.0385732
vib_normal_0hp,ORIGINAL,227,0.443359,0.0574524
vib_normal_0hp,ORIGINAL,228,0.445312,0.030708
vib_normal_0hp,ORIGINAL,229,0.447266,0.052417
vib_normal_0hp,ORIGINAL,230,0.449219,0.0171666
vib_normal_0hp,ORIGINAL,231,0.451172,0.0397755
vib_normal_0hp,ORIGINAL,232,0.453125,0.0256924
vib_normal_0hp,ORIGINAL,233,0.455078,0.018993
vib_normal_0hp,ORIGINAL,234,0.457031,0.0306764
vib_normal_0hp,ORIGINAL,235,0.458984,0.0137654
vib_normal_0hp,ORIGINAL,236,0.460938,0.0324207
vib_normal_0hp,ORIGINAL,237,0.462891,0.0222617
vib_normal_0hp,ORIGINAL,238,0.464844,0.0150659
vib_normal_0hp,ORIGINAL,239,0.466797,0.00312816
vib_normal_0hp,ORIGINAL,240,0.46875,0.0147038
vib_normal_0hp,ORIGINAL,241,0.470703,0.0201538
vib_normal_0hp,ORIGINAL,242,0.472656,0.0163992
vib_normal_0hp,ORIGINAL,243,0.474609,0.0150499
vib_normal_0hp,ORIGINAL,244,0.476562,0.00885184
vib_normal_0hp,ORIGINAL,245,0.478516,0.013904
vib_normal_0hp,ORIGINAL,246,0.480469,0.0156185
vib_normal_0hp,ORIGINAL,247,0.482422,0.0127368
vib_normal_0hp,ORIGINAL,248,0.484375,0.0122931
vib_normal_0hp,ORIGINAL,249,0.486328,0.0135961
vib_normal_0hp,ORIGINAL,250,0.488281,0.0132877
vib_normal_0hp,ORIGINAL,251,0.490234,0.0117369
vib_normal_0hp,ORIGINAL,252,0.492188,0.0154283
vib_normal_0hp,ORIGINAL,253,0.494141,0.0127547
vib_normal_0hp,ORIGINAL,254,0.496094,0.0135389
vib_normal_0hp,ORIGINAL,255,0.498047,0.011949
vib_normal_0hp,IMP_INTERP_ERROR,0,0,6.7896
vib_normal_0hp,IMP_INTERP_ERROR,1,0.00195312,0.461084
vib_normal_0hp,IMP_INTERP_ERROR,2,0.00390625,4.48512
vib_normal_0hp,IMP_INTERP_ERROR,3,0.00585938,1.87966
vib_normal_0hp,IMP_INTERP_ERROR,4,0.0078125,4.78963
vib_normal_0hp,IMP_INTERP_ERROR,5,0.00976562,1.20245
vib_normal_0hp,IMP_INTERP_ERROR,6,0.0117188,3.55969
vib_normal_0hp,IMP_INTERP_ERROR,7,0.0136719,11.7197
vib_normal_0hp,IMP_INTERP_ERROR,8,0.015625,0.470372
vib_normal_0hp,IMP_INTERP_ERROR,9,0.0175781,2.58243
vib_normal_0hp,IMP_INTERP_ERROR,10,0.0195312,2.03931
vib_normal_0hp,IMP_INTERP_ERROR,11,0.0214844,1.79175
vib_normal_0hp,IMP_INTERP_ERROR,12,0.0234375,3.60978
vib_normal_0hp,IMP_INTERP_ERROR,13,0.0253906,0.83691
vib_normal_0hp,IMP_INTERP_ERROR,14,0.0273438,0.672929
vib_normal_0hp,IMP_INTERP_ERROR,15,0.0292969,4.7816
vib_normal_0hp,IMP_INTERP_ERROR,16,0.03125,0.919571
vib_normal_0hp,IMP_INTERP_ERROR,17,0.0332031,1.46633
vib_normal_0hp,IMP_INTERP_ERROR,18,0.0351562,0.51282
vib_normal_0hp,IMP_INTERP_ERROR,19,0.0371094,0.969879
vib_normal_0hp,IMP_INTERP_ERROR,20,0.0390625,0.356111
vib_normal_0hp,IMP_INTERP_ERROR,21,0.0410156,0.716774
vib_normal_0hp,IMP_INTERP_ERROR,22,0.0429688,0.399876
vib_normal_0hp,IMP_INTERP_ERROR,23,0.0449219,0.368722
vib_normal_0hp,IMP_INTERP_ERROR,24,0.046875,0.464901
vib_normal_0hp,IMP_INTERP_ERROR,25,0.0488281,0.429307
vib_normal_0hp,IMP_INTERP_ERROR,26,0.0507812,0.727276
vib_normal_0hp,IMP_INTERP_ERROR,27,0.0527344,0.697226
vib_normal_0hp,IMP_INTERP_ERROR,28,0.0546875,3.84915
vib_normal_0hp,IMP_INTERP_ERROR,29,0.0566406,3.85846
vib_normal_0hp,IMP_INTERP_ERROR,30,0.0585938,1.46645
vib_normal_0hp,IMP_INTERP_ERROR,31,0.0605469,3.6137
vib_normal_0hp,IMP_INTERP_ERROR,32,0.0625,0.950158
vib_normal_0hp,IMP_INTERP_ERROR,33,0.0644531,0.321055
vib_normal_0hp,IMP_INTERP_ERROR,34,0.0664062,1.37321
vib_normal_0hp,IMP_INTERP_ERROR,35,0.0683594,2.73403
vib_normal_0hp,IMP_INTERP_ERROR,36,0.0703125,2.35396
vib_normal_0hp,IMP_INTERP_ERROR,37,0.0722656,2.0787
vib_normal_0hp,IMP_INTERP_ERROR,38,0.0742188,0.730392
vib_normal_0hp,IMP_INTERP_ERROR,39,0.0761719,1.43552
vib_normal_0hp,IMP_INTERP_ERROR,40,0.078125,0.579889
vib_normal_0hp,IMP_INTERP_ERROR,41,0.0800781,2.05174
vib_normal_0hp,IMP_INTERP_ERROR,42,0.0820312,2.36644
vib_normal_0hp,IMP_INTERP_ERROR,43,0.0839844,5.82491
vib_normal_0hp,IMP_INTERP_ERROR,44,0.0859375,11.9684
vib_normal_0hp,IMP_INTERP_ERROR,45,0.0878906,11.229
vib_normal_0hp,IMP_INTERP_ERROR,46,0.0898438,4.86472
vib_normal_0hp,IMP_INTERP_ERROR,47,0.0917969,6.2537
vib_normal_0hp,IMP_INTERP_ERROR,48,0.09375,3.313
vib_normal_0hp,IMP_INTERP_ERROR,49,0.0957031,0.78555
vib_normal_0hp,IMP_INTERP_ERROR,50,0.0976562,0.509886
vib_normal_0hp,IMP_INTERP_ERROR,51,0.0996094,0.501562
vib_normal_0hp,IMP_INTERP_ERROR,52,0.101562,0.622176
vib_normal_0hp,IMP_INTERP_ERROR,53,0.103516,0.814474
vib_normal_0hp,IMP_INTERP_ERROR,54,0.105469,0.467394
vib_normal_0hp,IMP_INTERP_ERROR,55,0.107422,0.437056
vib_normal_0hp,IMP_INTERP_ERROR,56,0.109375,1.56698
vib_normal_0hp,IMP_INTERP_ERROR,57,0.111328,1.67707
vib_normal_0hp,IMP_INTERP_ERROR,58,0.113281,0.565553
vib_normal_0hp,IMP_INTERP_ERROR,59,0.115234,1.0066
vib_normal_0hp,IMP_INTERP_ERROR,60,0.117188,0.466922
vib_normal_0hp,IMP_INTERP_ERROR,61,0.119141,0.533269
vib_normal_0hp,IMP_INTERP_ERROR,62,0.121094,0.55386
vib_normal_0hp,IMP_INTERP_ERROR,63,0.123047,0.704782
vib_normal_0hp,IMP_INTERP_ERROR,64,0.125,0.228842
vib_normal_0hp,IMP_INTERP_ERROR,65,0.126953,0.402082
vib_normal_0hp,IMP_INTERP_ERROR,66,0.128906,0.28195
vib_normal_0hp,IMP_INTERP_ERROR,67,0.130859,0.188321
vib_normal_0hp,IMP_INTERP_ERROR,68,0.132812,0.0950435
vib_normal_0hp,IMP_INTERP_ERROR,69,0.134766,0.333565
vib_normal_0hp,IMP_INTERP_ERROR,70,0.136719,0.254833
vib_normal_0hp,IMP_INTERP_ERROR,71,0.138672,0.398388
vib_normal_0hp,IMP_INTERP_ERROR,72,0.140625,0.498423
vib_normal_0hp,IMP_INTERP_ERROR,73,0.142578,0.378033
vib_normal_0hp,IMP_INTERP_ERROR,74,0.144531,0.376455
vib_normal_0hp,IMP_INTERP_ERROR,75,0.146484,0.175609
vib_normal_0hp,IMP_INTERP_ERROR,76,0.148438,0.240555
vib_normal_0hp,IMP_INTERP_ERROR,77,0.150391,0.338477
vib_normal_0hp,IMP_INTERP_ERROR,78,0.152344,0.307697
vib_normal_0hp,IMP_INTERP_ERROR,79,0.154297,0.467158
vib_normal_0hp,IMP_INTERP_ERROR,80,0.15625,0.107804
vib_normal_0hp,IMP_INTERP_ERROR,81,0.158203,0.542465
vib_normal_0hp,IMP_INTERP_ERROR,82,0.160156,0.147319
vib_normal_0hp,IMP_INTERP_ERROR,83,0.162109,0.29611
vib_normal_0hp,IMP_INTERP_ERROR,84,0.164062,0.634161
vib_normal_0hp,IMP_INTERP_ERROR,85,0.166016,0.324047
vib_normal_0hp,IMP_INTERP_ERROR,86,0.167969,0.966708
vib_normal_0hp,IMP_INTERP_ERROR,87,0.169922,0.648006
vib_normal_0hp,IMP_INTERP_ERROR,88,0.171875,1.38162
vib_normal_0hp,IMP_INTERP_ERROR,89,0.173828,1.70194
vib_normal_0hp,IMP_INTERP_ERROR,90,0.175781,4.57938
vib_normal_0hp,IMP_INTERP_ERROR,91,0.177734,0.843905
vib_normal_0hp,IMP_INTERP_ERROR,92,0.179688,0.610297
vib_normal_0hp,IMP_INTERP_ERROR,93,0.181641,0.443734
vib_normal_0hp,IMP_INTERP_ERROR,94,0.183594,0.41588
vib_normal_0hp,IMP_INTERP_ERROR,95,0.185547,0.339121
vib_normal_0hp,IMP_INTERP_ERROR,96,0.1875,0.378024
vib_normal_0hp,IMP_INTERP_ERROR,97,0.189453,0.13839
vib_normal_0hp,IMP_INTERP_ERROR,98,0.191406,0.181394
vib_normal_0hp,IMP_INTERP_ERROR,99,0.193359,0.342066
vib_normal_0hp,IMP_INTERP_ERROR,100,0.195312,0.212661
vib_normal_0hp,IMP_INTERP_ERROR,101,0.197266,0.357864
vib_normal_0hp,IMP_INTERP_ERROR,102,0.199219,0.119349
vib_normal_0hp,IMP_INTERP_ERROR,103,0.201172,0.19298
vib_normal_0hp,IMP_INTERP_ERROR,104,0.203125,0.200572
vib_normal_0hp,IMP_INTERP_ERROR,105,0.205078,0.112093
vib_normal_0hp,IMP_INTERP_ERROR,106,0.207031,0.126749
vib_normal_0hp,IMP_INTERP_ERROR,107,0.208984,0.101227
vib_normal_0hp,IMP_INTERP_ERROR,108,0.210938,0.0668178
vib_normal_0hp,IMP_INTERP_ERROR,109,0.212891,0.107707
vib_normal_0hp,IMP_INTERP_ERROR,110,0.214844,0.337638
vib_normal_0hp,IMP_INTERP_ERROR,111,0.216797,0.101593
vib_normal_0hp,IMP_INTERP_ERROR,112,0.21875,0.213074
vib_normal_0hp,IMP_INTERP_ERROR,113,0.220703,0.339586
vib_normal_0hp,IMP_INTERP_ERROR,114,0.222656,0.0217483
vib_normal_0hp,IMP_INTERP_ERROR,115,0.224609,0.0876889
vib_normal_0hp,IMP_INTERP_ERROR,116,0.226562,0.220113
vib_normal_0hp,IMP_INTERP_ERROR,117,0.228516,0.120909
vib_normal_0hp,IMP_INTERP_ERROR,118,0.230469,0.0612829
vib_normal_0hp,IMP_INTERP_ERROR,119,0.232422,0.129756
vib_normal_0hp,IMP_INTERP_ERROR,120,0.234375,0.254486
vib_normal_0hp,IMP_INTERP_ERROR,121,0.236328,0.159492
vib_normal_0hp,IMP_INTERP_ERROR,122,0.238281,0.229804
vib_normal_0hp,IMP_INTERP_ERROR,123,0.240234,0.144498
vib_normal_0hp,IMP_INTERP_ERROR,124,0.242188,0.0153512
vib_normal_0hp,IMP_INTERP_ERROR,125,0.244141,0.0806632
vib_normal_0hp,IMP_INTERP_ERROR,126,0.246094,0.248411
vib_normal_0hp,IMP_INTERP_ERROR,127,0.248047,0.120377
vib_normal_0hp,IMP_INTERP_ERROR,128,0.25,0.255335
vib_normal_0hp,IMP_INTERP_ERROR,129,0.251953,0.288616
vib_normal_0hp,IMP_INTERP_ERROR,130,0.253906,0.16318
vib_normal_0hp,IMP_INTERP_ERROR,131,0.255859,0.18275
vib_normal_0hp,IMP_INTERP_ERROR,132,0.257812,0.109282
vib_normal_0hp,IMP_INTERP_ERROR,133,0.259766,0.116576
vib_normal_0hp,IMP_INTERP_ERROR,134,0.261719,0.064394
vib_normal_0hp,IMP_INTERP_ERROR,135,0.263672,0.283425
vib_normal_0hp,IMP_INTERP_ERROR,136,0.265625,0.26568
vib_normal_0hp,IMP_INTERP_ERROR,137,0.267578,0.175084
vib_normal_0hp,IMP_INTERP_ERROR,138,0.269531,0.128209
vib_normal_0hp,IMP_INTERP_ERROR,139,0.271484,0.104962
vib_normal_0hp,IMP_INTERP_ERROR,140,0.273438,0.0475473
vib_normal_0hp,IMP_INTERP_ERROR,141,0.275391,0.0586687
vib_normal_0hp,IMP_INTERP_ERROR,142,0.277344,0.122973
vib_normal_0hp,IMP_INTERP_ERROR,143,0.279297,0.0532576
vib_normal_0hp,IMP_INTERP_ERROR,144,0.28125,0.0809394
vib_normal_0hp,IMP_INTERP_ERROR,145,0.283203,0.1138
vib_normal_0hp,IMP_INTERP_ERROR,146,0.285156,0.116356
vib_normal_0hp,IMP_INTERP_ERROR,147,0.287109,0.212552
vib_normal_0hp,IMP_INTERP_ERROR,148,0.289062,0.120791
vib_normal_0hp,IMP_INTERP_ERROR,149,0.291016,0.0791696
vib_normal_0hp,IMP_INTERP_ERROR,150,0.292969,0.099272
vib_normal_0hp,IMP_INTERP_ERROR,151,0.294922,0.0845735
vib_normal_0hp,IMP_INTERP_ERROR,152,0.296875,0.0681058
vib_normal_0hp,IMP_INTERP_ERROR,153,0.298828,0.047122
vib_normal_0hp,IMP_INTERP_ERROR,154,0.300781,0.0519754
vib_normal_0hp,IMP_INTERP_ERROR,155,0.302734,0.00881198
vib_normal_0hp,IMP_INTERP_ERROR,156,0.304688,0.12383
vib_normal_0hp,IMP_INTERP_ERROR,157,0.306641,0.189606
vib_normal_0hp,IMP_INTERP_ERROR,158,0.308594,0.143029
vib_normal_0hp,IMP_INTERP_ERROR,159,0.310547,0.0849098
vib_normal_0hp,IMP_INTERP_ERROR,160,0.3125,0.124702
vib_normal_0hp,IMP_INTERP_ERROR,161,0.314453,0.0979557
vib_normal_0hp,IMP_INTERP_ERROR,162,0.316406,0.0324921
vib_normal_0hp,IMP_INTERP_ERROR,163,0.318359,0.119734
vib_normal_0hp,IMP_INTERP_ERROR,164,0.320312,0.0635422
vib_normal_0hp,IMP_INTERP_ERROR,165,0.322266,0.114745
vib_normal_0hp,IMP_INTERP_ERROR,166,0.324219,0.0689302
vib_normal_0hp,IMP_INTERP_ERROR,167,0.326172,0.147267
vib_normal_0hp,IMP_INTERP_ERROR,168,0.328125,0.0717644
