method,overload,trial,window_idx,true_label,pred_label,correct,snr_db,spec_corr,class_name
PROPOSED,10,0,50,2,2,1,16.09,0.9924,ball_fault
PROPOSED,10,0,51,2,2,1,16.29,0.9934,ball_fault
PROPOSED,10,0,52,2,2,1,15.79,0.9921,ball_fault
PROPOSED,10,0,53,2,2,1,17.31,0.9935,ball_fault
PROPOSED,10,0,54,2,2,1,15.99,0.9916,ball_fault
PROPOSED,10,0,55,2,2,1,15.25,0.9917,ball_fault
PROPOSED,10,0,56,2,2,1,16.27,0.9940,ball_fault
PROPOSED,10,1,0,0,0,1,30.32,0.9997,normal
PROPOSED,10,1,1,0,0,1,30.31,0.9997,normal
PROPOSED,10,1,2,0,0,1,30.42,0.9997,normal
PROPOSED,10,1,3,0,0,1,29.99,0.9997,normal
PROPOSED,10,1,4,0,0,1,30.68,0.9998,normal
PROPOSED,10,1,5,0,0,1,31.10,0.9998,normal
PROPOSED,10,1,6,0,0,1,31.20,0.9998,normal
PROPOSED,10,1,7,0,0,1,30.08,0.9997,normal
PROPOSED,10,1,8,0,0,1,30.64,0.9998,normal
PROPOSED,10,1,9,0,0,1,31.72,0.9998,normal
PROPOSED,10,1,10,0,0,1,28.98,0.9996,normal
PROPOSED,10,1,11,0,0,1,30.51,0.9997,normal
PROPOSED,10,1,12,0,0,1,31.80,0.9998,normal
PROPOSED,10,1,13,0,0,1,29.49,0.9997,normal
PROPOSED,10,1,14,0,0,1,29.27,0.9997,normal
PROPOSED,10,1,15,0,0,1,30.90,0.9998,normal
PROPOSED,10,1,16,0,0,1,30.97,0.9998,normal
PROPOSED,10,1,17,0,0,1,31.33,0.9998,normal
PROPOSED,10,1,18,0,0,1,30.44,0.9997,normal
PROPOSED,10,1,19,1,1,1,18.81,0.9945,inner_race
PROPOSED,10,1,20,1,1,1,18.84,0.9943,inner_race
PROPOSED,10,1,21,1,1,1,19.80,0.9956,inner_race
PROPOSED,10,1,22,1,1,1,19.39,0.9957,inner_race
PROPOSED,10,1,23,1,1,1,20.96,0.9966,inner_race
PROPOSED,10,1,24,1,1,1,19.48,0.9950,inner_race
PROPOSED,10,1,25,1,1,1,18.13,0.9935,inner_race
PROPOSED,10,1,26,1,1,1,18.94,0.9950,inner_race
PROPOSED,10,1,27,1,1,1,18.74,0.9945,inner_race
PROPOSED,10,1,28,1,1,1,19.31,0.9948,inner_race
PROPOSED,10,1,29,1,1,1,20.13,0.9960,inner_race
PROPOSED,10,1,30,1,1,1,17.59,0.9936,inner_race
PROPOSED,10,1,31,1,1,1,18.52,0.9946,inner_race
PROPOSED,10,1,32,1,1,1,20.85,0.9964,inner_race
PROPOSED,10,1,33,1,1,1,19.73,0.9949,inner_race
PROPOSED,10,1,34,1,1,1,18.64,0.9947,inner_race
PROPOSED,10,1,35,1,1,1,18.47,0.9926,inner_race
PROPOSED,10,1,36,1,1,1,20.52,0.9963,inner_race
PROPOSED,10,1,37,1,1,1,19.28,0.9950,inner_race
PROPOSED,10,1,38,2,2,1,16.26,0.9926,ball_fault
PROPOSED,10,1,39,2,2,1,15.48,0.9931,ball_fault
PROPOSED,10,1,40,2,2,1,15.17,0.9897,ball_fault
PROPOSED,10,1,41,2,2,1,15.76,0.9916,ball_fault
PROPOSED,10,1,42,2,2,1,15.40,0.9897,ball_fault
PROPOSED,10,1,43,2,2,1,16.30,0.9927,ball_fault
PROPOSED,10,1,44,2,2,1,15.91,0.9914,ball_fault
PROPOSED,10,1,45,2,2,1,15.51,0.9906,ball_fault
PROPOSED,10,1,46,2,2,1,16.04,0.9915,ball_fault
PROPOSED,10,1,47,2,2,1,13.58,0.9877,ball_fault
PROPOSED,10,1,48,2,2,1,13.83,0.9872,ball_fault
PROPOSED,10,1,49,2,2,1,14.16,0.9886,ball_fault
PROPOSED,10,1,50,2,2,1,15.55,0.9915,ball_fault
PROPOSED,10,1,51,2,2,1,16.25,0.9934,ball_fault
PROPOSED,10,1,52,2,2,1,15.75,0.9920,ball_fault
PROPOSED,10,1,53,2,2,1,17.07,0.9932,ball_fault
PROPOSED,10,1,54,2,2,1,15.99,0.9916,ball_fault
PROPOSED,10,1,55,2,2,1,15.37,0.9917,ball_fault
PROPOSED,10,1,56,2,2,1,16.57,0.9944,ball_fault
PROPOSED,10,2,0,0,0,1,30.57,0.9998,normal
PROPOSED,10,2,1,0,0,1,30.42,0.9998,normal
PROPOSED,10,2,2,0,0,1,30.57,0.9998,normal
PROPOSED,10,2,3,0,0,1,29.85,0.9997,normal
PROPOSED,10,2,4,0,0,1,30.81,0.9998,normal
PROPOSED,10,2,5,0,0,1,31.43,0.9998,normal
PROPOSED,10,2,6,0,0,1,31.23,0.9998,normal
PROPOSED,10,2,7,0,0,1,29.98,0.9997,normal
PROPOSED,10,2,8,0,0,1,30.73,0.9998,normal
PROPOSED,10,2,9,0,0,1,31.72,0.9998,normal
PROPOSED,10,2,10,0,0,1,28.98,0.9996,normal
PROPOSED,10,2,11,0,0,1,30.70,0.9998,normal
PROPOSED,10,2,12,0,0,1,31.82,0.9998,normal
PROPOSED,10,2,13,0,0,1,29.51,0.9997,normal
PROPOSED,10,2,14,0,0,1,29.27,0.9997,normal
PROPOSED,10,2,15,0,0,1,30.81,0.9998,normal
PROPOSED,10,2,16,0,0,1,30.81,0.9997,normal
PROPOSED,10,2,17,0,0,1,31.09,0.9997,normal
PROPOSED,10,2,18,0,0,1,30.48,0.9998,normal
PROPOSED,10,2,19,1,1,1,18.81,0.9945,inner_race
PROPOSED,10,2,20,1,1,1,18.82,0.9941,inner_race
PROPOSED,10,2,21,1,1,1,19.80,0.9956,inner_race
PROPOSED,10,2,22,1,1,1,19.40,0.9957,inner_race
PROPOSED,10,2,23,1,1,1,21.05,0.9967,inner_race
PROPOSED,10,2,24,1,1,1,19.36,0.9949,inner_race
PROPOSED,10,2,25,1,1,1,18.13,0.9935,inner_race
PROPOSED,10,2,26,1,1,1,18.93,0.9950,inner_race
PROPOSED,10,2,27,1,1,1,18.56,0.9941,inner_race
PROPOSED,10,2,28,1,1,1,19.08,0.9946,inner_race
PROPOSED,10,2,29,1,1,1,19.64,0.9957,inner_race
PROPOSED,10,2,30,1,1,1,17.56,0.9937,inner_race
PROPOSED,10,2,31,1,1,1,18.52,0.9946,inner_race
PROPOSED,10,2,32,1,1,1,20.75,0.9964,inner_race
PROPOSED,10,2,33,1,1,1,19.84,0.9951,inner_race
PROPOSED,10,2,34,1,1,1,18.33,0.9945,inner_race
PROPOSED,10,2,35,1,1,1,18.55,0.9928,inner_race
PROPOSED,10,2,36,1,1,1,20.30,0.9961,inner_race
PROPOSED,10,2,37,1,1,1,19.18,0.9949,inner_race
PROPOSED,10,2,38,2,2,1,16.20,0.9928,ball_fault
PROPOSED,10,2,39,2,2,1,15.43,0.9928,ball_fault
PROPOSED,10,2,40,2,2,1,15.05,0.9896,ball_fault
PROPOSED,10,2,41,2,2,1,15.74,0.9911,ball_fault
PROPOSED,10,2,42,2,2,1,15.13,0.9894,ball_fault
PROPOSED,10,2,43,2,2,1,16.19,0.9924,ball_fault
PROPOSED,10,2,44,2,2,1,15.54,0.9916,ball_fault
PROPOSED,10,2,45,2,2,1,15.61,0.9907,ball_fault
PROPOSED,10,2,46,2,2,1,15.97,0.9913,ball_fault
PROPOSED,10,2,47,2,2,1,13.45,0.9873,ball_fault
PROPOSED,10,2,48,2,2,1,13.66,0.9866,ball_fault
PROPOSED,10,2,49,2,2,1,14.03,0.9881,ball_fault
PROPOSED,10,2,50,2,2,1,16.13,0.9923,ball_fault
PROPOSED,10,2,51,2,2,1,15.93,0.9928,ball_fault
PROPOSED,10,2,52,2,2,1,15.75,0.9920,ball_fault
PROPOSED,10,2,53,2,2,1,17.07,0.9932,ball_fault
PROPOSED,10,2,54,2,2,1,16.23,0.9920,ball_fault
PROPOSED,10,2,55,2,2,1,15.21,0.9914,ball_fault
PROPOSED,10,2,56,2,2,1,16.21,0.9938,ball_fault
PROPOSED,10,3,0,0,0,1,30.47,0.9998,normal
PROPOSED,10,3,1,0,0,1,30.37,0.9997,normal
PROPOSED,10,3,2,0,0,1,30.42,0.9997,normal
PROPOSED,10,3,3,0,0,1,29.83,0.9997,normal
PROPOSED,10,3,4,0,0,1,30.92,0.9998,normal
PROPOSED,10,3,5,0,0,1,31.43,0.9998,normal
PROPOSED,10,3,6,0,0,1,31.23,0.9998,normal
PROPOSED,10,3,7,0,0,1,30.03,0.9997,normal
PROPOSED,10,3,8,0,0,1,30.66,0.9998,normal
PROPOSED,10,3,9,0,0,1,31.72,0.9998,normal
PROPOSED,10,3,10,0,0,1,29.01,0.9997,normal
PROPOSED,10,3,11,0,0,1,30.70,0.9998,normal
PROPOSED,10,3,12,0,0,1,32.03,0.9998,normal
PROPOSED,10,3,13,0,0,1,31.50,0.9998,normal
PROPOSED,10,3,14,0,0,1,29.31,0.9997,normal
PROPOSED,10,3,15,0,0,1,30.90,0.9998,normal
PROPOSED,10,3,16,0,0,1,31.08,0.9998,normal
PROPOSED,10,3,17,0,0,1,31.48,0.9998,normal
PROPOSED,10,3,18,0,0,1,30.66,0.9998,normal
PROPOSED,10,3,19,1,1,1,18.90,0.9946,inner_race
PROPOSED,10,3,20,1,1,1,18.96,0.9945,inner_race
PROPOSED,10,3,21,1,1,1,19.87,0.9956,inner_race
PROPOSED,10,3,22,1,1,1,19.40,0.9957,inner_race
PROPOSED,10,3,23,1,1,1,21.00,0.9966,inner_race
PROPOSED,10,3,24,1,1,1,19.64,0.9951,inner_race
PROPOSED,10,3,25,1,1,1,18.34,0.9941,inner_race
PROPOSED,10,3,26,1,1,1,19.02,0.9951,inner_race
PROPOSED,10,3,27,1,1,1,18.43,0.9939,inner_race
PROPOSED,10,3,28,1,1,1,19.28,0.9949,inner_race
PROPOSED,10,3,29,1,1,1,19.92,0.9960,inner_race
PROPOSED,10,3,30,1,1,1,17.96,0.9940,inner_race
PROPOSED,10,3,31,1,1,1,18.54,0.9946,inner_race
PROPOSED,10,3,32,1,1,1,20.75,0.9963,inner_race
PROPOSED,10,3,33,1,1,1,19.84,0.9951,inner_race
PROPOSED,10,3,34,1,1,1,18.90,0.9952,inner_race
PROPOSED,10,3,35,1,1,1,18.66,0.9935,inner_race
PROPOSED,10,3,36,1,1,1,20.61,0.9963,inner_race
PROPOSED,10,3,37,1,1,1,19.44,0.9951,inner_race
PROPOSED,10,3,38,2,2,1,16.35,0.9929,ball_fault
PROPOSED,10,3,39,2,2,1,15.71,0.9933,ball_fault
PROPOSED,10,3,40,2,2,1,15.17,0.9897,ball_fault
PROPOSED,10,3,41,2,2,1,16.04,0.9918,ball_fault
PROPOSED,10,3,42,2,2,1,15.37,0.9896,ball_fault
PROPOSED,10,3,43,2,2,1,16.42,0.9928,ball_fault
PROPOSED,10,3,44,2,2,1,15.80,0.9919,ball_fault
PROPOSED,10,3,45,2,2,1,15.72,0.9908,ball_fault
PROPOSED,10,3,46,2,2,1,15.99,0.9912,ball_fault
PROPOSED,10,3,47,2,2,1,13.64,0.9878,ball_fault
PROPOSED,10,3,48,2,2,1,13.87,0.9874,ball_fault
PROPOSED,10,3,49,2,2,1,13.93,0.9875,ball_fault
PROPOSED,10,3,50,2,2,1,16.39,0.9928,ball_fault
PROPOSED,10,3,51,2,2,1,16.33,0.9934,ball_fault
PROPOSED,10,3,52,2,2,1,16.12,0.9925,ball_fault
PROPOSED,10,3,53,2,2,1,17.44,0.9938,ball_fault
PROPOSED,10,3,54,2,2,1,16.43,0.9922,ball_fault
PROPOSED,10,3,55,2,2,1,15.48,0.9921,ball_fault
PROPOSED,10,3,56,2,2,1,16.41,0.9943,ball_fault
PROPOSED,10,4,0,0,0,1,30.57,0.9998,normal
PROPOSED,10,4,1,0,0,1,30.49,0.9998,normal
PROPOSED,10,4,2,0,0,1,30.57,0.9998,normal
PROPOSED,10,4,3,0,0,1,29.98,0.9997,normal
PROPOSED,10,4,4,0,0,1,30.78,0.9998,normal
PROPOSED,10,4,5,0,0,1,31.37,0.9998,normal
PROPOSED,10,4,6,0,0,1,31.34,0.9998,normal
PROPOSED,10,4,7,0,0,1,30.33,0.9997,normal
PROPOSED,10,4,8,0,0,1,31.08,0.9998,normal
PROPOSED,10,4,9,0,0,1,31.96,0.9998,normal
PROPOSED,10,4,10,0,0,1,29.09,0.9997,normal
PROPOSED,10,4,11,0,0,1,30.82,0.9998,normal
PROPOSED,10,4,12,0,0,1,32.03,0.9998,normal
PROPOSED,10,4,13,0,0,1,29.65,0.9997,normal
PROPOSED,10,4,14,0,0,1,29.52,0.9997,normal
PROPOSED,10,4,15,0,0,1,30.90,0.9998,normal
PROPOSED,10,4,16,0,0,1,31.18,0.9998,normal
PROPOSED,10,4,17,0,0,1,31.48,0.9998,normal
PROPOSED,10,4,18,0,0,1,30.66,0.9998,normal
PROPOSED,10,4,19,1,1,1,19.04,0.9948,inner_race
PROPOSED,10,4,20,1,1,1,19.07,0.9945,inner_race
PROPOSED,10,4,21,1,1,1,20.09,0.9959,inner_race
PROPOSED,10,4,22,1,1,1,19.40,0.9957,inner_race
PROPOSED,10,4,23,1,1,1,21.01,0.9967,inner_race
PROPOSED,10,4,24,1,1,1,19.49,0.9950,inner_race
PROPOSED,10,4,25,1,1,1,18.31,0.9942,inner_race
PROPOSED,10,4,26,1,1,1,19.16,0.9952,inner_race
PROPOSED,10,4,27,1,1,1,18.76,0.9944,inner_race
PROPOSED,10,4,28,1,1,1,19.72,0.9951,inner_race
PROPOSED,10,4,29,1,1,1,19.85,0.9959,inner_race
PROPOSED,10,4,30,1,1,1,17.95,0.9940,inner_race
PROPOSED,10,4,31,1,1,1,18.52,0.9946,inner_race
PROPOSED,10,4,32,1,1,1,20.61,0.9962,inner_race
PROPOSED,10,4,33,1,1,1,19.81,0.9950,inner_race
PROPOSED,10,4,34,1,1,1,19.10,0.9951,inner_race
PROPOSED,10,4,35,1,1,1,18.34,0.9922,inner_race
PROPOSED,10,4,36,1,1,1,20.20,0.9959,inner_race
PROPOSED,10,4,37,1,1,1,19.68,0.9955,inner_race
PROPOSED,10,4,38,2,2,1,16.37,0.9927,ball_fault
PROPOSED,10,4,39,2,2,1,15.51,0.9930,ball_fault
PROPOSED,10,4,40,2,2,1,15.44,0.9904,ball_fault
PROPOSED,10,4,41,2,2,1,15.94,0.9915,ball_fault
PROPOSED,10,4,42,2,2,1,15.22,0.9895,ball_fault
PROPOSED,10,4,43,2,2,1,16.42,0.9927,ball_fault
PROPOSED,10,4,44,2,2,1,15.52,0.9918,ball_fault
PROPOSED,10,4,45,2,2,1,15.61,0.9907,ball_fault
PROPOSED,10,4,46,2,2,1,16.02,0.9914,ball_fault
PROPOSED,10,4,47,2,2,1,13.58,0.9877,ball_fault
PROPOSED,10,4,48,2,2,1,13.87,0.9874,ball_fault
PROPOSED,10,4,49,2,2,1,13.99,0.9873,ball_fault
PROPOSED,10,4,50,2,2,1,16.27,0.9924,ball_fault
PROPOSED,10,4,51,2,2,1,16.52,0.9939,ball_fault
PROPOSED,10,4,52,2,2,1,15.96,0.9922,ball_fault
PROPOSED,10,4,53,2,2,1,17.31,0.9935,ball_fault
PROPOSED,10,4,54,2,2,1,16.48,0.9924,ball_fault
PROPOSED,10,4,55,2,2,1,15.28,0.9916,ball_fault
PROPOSED,10,4,56,2,2,1,16.48,0.9944,ball_fault
PROPOSED,20,0,0,0,0,1,27.61,0.9995,normal
PROPOSED,20,0,1,0,0,1,26.91,0.9995,normal
PROPOSED,20,0,2,0,0,1,27.37,0.9994,normal
PROPOSED,20,0,3,0,0,1,27.00,0.9995,normal
PROPOSED,20,0,4,0,0,1,27.30,0.9995,normal
PROPOSED,20,0,5,0,0,1,28.07,0.9996,normal
PROPOSED,20,0,6,0,0,1,27.83,0.9995,normal
PROPOSED,20,0,7,0,0,1,27.02,0.9994,normal
PROPOSED,20,0,8,0,0,1,27.34,0.9995,normal
PROPOSED,20,0,9,0,0,1,27.86,0.9996,normal
PROPOSED,20,0,10,0,0,1,25.83,0.9993,normal
PROPOSED,20,0,11,0,0,1,26.59,0.9993,normal
PROPOSED,20,0,12,0,0,1,27.78,0.9995,normal
PROPOSED,20,0,13,0,0,1,26.73,0.9994,normal
PROPOSED,20,0,14,0,0,1,26.13,0.9994,normal
PROPOSED,20,0,15,0,0,1,27.70,0.9995,normal
PROPOSED,20,0,16,0,0,1,27.60,0.9996,normal
PROPOSED,20,0,17,0,0,1,27.45,0.9995,normal
PROPOSED,20,0,18,0,0,1,26.18,0.9993,normal
PROPOSED,20,0,19,1,1,1,14.98,0.9864,inner_race
PROPOSED,20,0,20,1,1,1,15.37,0.9887,inner_race
PROPOSED,20,0,21,1,1,1,16.58,0.9909,inner_race
PROPOSED,20,0,22,1,1,1,15.94,0.9897,inner_race
PROPOSED,20,0,23,1,1,1,16.82,0.9916,inner_race
PROPOSED,20,0,24,1,1,1,16.33,0.9899,inner_race
PROPOSED,20,0,25,1,1,1,14.70,0.9856,inner_race
PROPOSED,20,0,26,1,1,1,15.56,0.9884,inner_race
PROPOSED,20,0,27,1,1,1,15.69,0.9882,inner_race
PROPOSED,20,0,28,1,1,1,15.98,0.9906,inner_race
PROPOSED,20,0,29,1,1,1,16.35,0.9914,inner_race
PROPOSED,20,0,30,1,1,1,15.20,0.9882,inner_race
PROPOSED,20,0,31,1,1,1,14.84,0.9855,inner_race
PROPOSED,20,0,32,1,1,1,16.37,0.9912,inner_race
PROPOSED,20,0,33,1,1,1,15.86,0.9890,inner_race
PROPOSED,20,0,34,1,1,1,14.97,0.9874,inner_race
PROPOSED,20,0,35,1,1,1,15.67,0.9863,inner_race
PROPOSED,20,0,36,1,1,1,16.22,0.9906,inner_race
PROPOSED,20,0,37,1,1,1,15.63,0.9881,inner_race
PROPOSED,20,0,38,2,2,1,12.38,0.9831,ball_fault
PROPOSED,20,0,39,2,2,1,11.93,0.9831,ball_fault
PROPOSED,20,0,40,2,2,1,11.73,0.9804,ball_fault
PROPOSED,20,0,41,2,2,1,12.10,0.9814,ball_fault
PROPOSED,20,0,42,2,2,1,11.37,0.9755,ball_fault
PROPOSED,20,0,43,2,2,1,13.44,0.9860,ball_fault
PROPOSED,20,0,44,2,2,1,11.89,0.9822,ball_fault
PROPOSED,20,0,45,2,2,1,11.65,0.9787,ball_fault
PROPOSED,20,0,46,2,2,1,12.59,0.9794,ball_fault
PROPOSED,20,0,47,2,2,1,11.18,0.9773,ball_fault
PROPOSED,20,0,48,2,2,1,10.56,0.9706,ball_fault
PROPOSED,20,0,49,2,2,1,11.47,0.9780,ball_fault
PROPOSED,20,0,50,2,2,1,13.28,0.9854,ball_fault
PROPOSED,20,0,51,2,2,1,13.72,0.9869,ball_fault
PROPOSED,20,0,52,2,2,1,12.39,0.9809,ball_fault
PROPOSED,20,0,53,2,2,1,13.08,0.9823,ball_fault
PROPOSED,20,0,54,2,2,1,13.50,0.9854,ball_fault
PROPOSED,20,0,55,2,2,1,10.85,0.9776,ball_fault
PROPOSED,20,0,56,2,2,1,13.24,0.9870,ball_fault
PROPOSED,20,1,0,0,0,1,27.61,0.9995,normal
PROPOSED,20,1,1,0,0,1,27.05,0.9995,normal
PROPOSED,20,1,2,0,0,1,27.35,0.9994,normal
PROPOSED,20,1,3,0,0,1,27.03,0.9995,normal
PROPOSED,20,1,4,0,0,1,27.30,0.9995,normal
PROPOSED,20,1,5,0,0,1,28.07,0.9996,normal
PROPOSED,20,1,6,0,0,1,27.79,0.9995,normal
PROPOSED,20,1,7,0,0,1,27.02,0.9994,normal
PROPOSED,20,1,8,0,0,1,27.28,0.9995,normal
PROPOSED,20,1,9,0,0,1,27.90,0.9996,normal
PROPOSED,20,1,10,0,0,1,25.66,0.9992,normal
PROPOSED,20,1,11,0,0,1,26.45,0.9993,normal
PROPOSED,20,1,12,0,0,1,27.53,0.9994,normal
PROPOSED,20,1,13,0,0,1,26.73,0.9994,normal
PROPOSED,20,1,14,0,0,1,26.06,0.9993,normal
PROPOSED,20,1,15,0,0,1,27.57,0.9995,normal
PROPOSED,20,1,16,0,0,1,27.72,0.9996,normal
PROPOSED,20,1,17,0,0,1,27.46,0.9995,normal
PROPOSED,20,1,18,0,0,1,26.18,0.9993,normal
PROPOSED,20,1,19,1,1,1,14.81,0.9863,inner_race
PROPOSED,20,1,20,1,1,1,15.16,0.9880,inner_race
PROPOSED,20,1,21,1,1,1,16.38,0.9908,inner_race
PROPOSED,20,1,22,1,1,1,15.88,0.9896,inner_race
PROPOSED,20,1,23,1,1,1,16.82,0.9916,inner_race
PROPOSED,20,1,24,1,1,1,16.13,0.9902,inner_race
PROPOSED,20,1,25,1,1,1,14.61,0.9850,inner_race
PROPOSED,20,1,26,1,1,1,15.52,0.9882,inner_race
PROPOSED,20,1,27,1,1,1,15.77,0.9885,inner_race
PROPOSED,20,1,28,1,1,1,15.90,0.9906,inner_race
PROPOSED,20,1,29,1,1,1,16.16,0.9911,inner_race
PROPOSED,20,1,30,1,1,1,15.01,0.9874,inner_race
PROPOSED,20,1,31,1,1,1,14.73,0.9850,inner_race
PROPOSED,20,1,32,1,1,1,16.44,0.9916,inner_race
PROPOSED,20,1,33,1,1,1,15.62,0.9885,inner_race
PROPOSED,20,1,34,1,1,1,15.38,0.9878,inner_race
PROPOSED,20,1,35,1,1,1,15.79,0.9870,inner_race
PROPOSED,20,1,36,1,1,1,16.17,0.9907,inner_race
PROPOSED,20,1,37,1,1,1,15.58,0.9879,inner_race
PROPOSED,20,1,38,2,2,1,12.40,0.9828,ball_fault
PROPOSED,20,1,39,2,2,1,11.90,0.9834,ball_fault
PROPOSED,20,1,40,2,2,1,11.96,0.9810,ball_fault
PROPOSED,20,1,41,2,2,1,12.08,0.9819,ball_fault
PROPOSED,20,1,42,2,2,1,11.34,0.9759,ball_fault
PROPOSED,20,1,43,2,2,1,13.08,0.9855,ball_fault
PROPOSED,20,1,44,2,2,1,12.27,0.9830,ball_fault
PROPOSED,20,1,45,2,2,1,11.57,0.9784,ball_fault
PROPOSED,20,1,46,2,2,1,12.61,0.9793,ball_fault
PROPOSED,20,1,47,2,2,1,11.18,0.9773,ball_fault
PROPOSED,20,1,48,2,2,1,10.56,0.9706,ball_fault
PROPOSED,20,1,49,2,2,1,11.26,0.9769,ball_fault
PROPOSED,20,1,50,2,2,1,13.42,0.9862,ball_fault
PROPOSED,20,1,51,2,2,1,13.47,0.9858,ball_fault
PROPOSED,20,1,52,2,2,1,12.67,0.9824,ball_fault
PROPOSED,20,1,53,2,2,1,13.40,0.9843,ball_fault
PROPOSED,20,1,54,2,2,1,13.41,0.9856,ball_fault
PROPOSED,20,1,55,2,2,1,10.73,0.9780,ball_fault
PROPOSED,20,1,56,2,2,1,13.16,0.9864,ball_fault
PROPOSED,20,2,0,0,0,1,27.61,0.9995,normal
PROPOSED,20,2,1,0,0,1,26.98,0.9995,normal
PROPOSED,20,2,2,0,0,1,27.64,0.9995,normal
PROPOSED,20,2,3,0,0,1,27.05,0.9995,normal
PROPOSED,20,2,4,0,0,1,27.39,0.9995,normal
PROPOSED,20,2,5,0,0,1,27.86,0.9996,normal
PROPOSED,20,2,6,0,0,1,27.79,0.9995,normal
PROPOSED,20,2,7,0,0,1,26.94,0.9993,normal
PROPOSED,20,2,8,0,0,1,27.28,0.9995,normal
PROPOSED,20,2,9,0,0,1,27.90,0.9996,normal
PROPOSED,20,2,10,0,0,1,25.75,0.9993,normal
PROPOSED,20,2,11,0,0,1,26.44,0.9993,normal
PROPOSED,20,2,12,0,0,1,27.37,0.9994,normal
PROPOSED,20,2,13,0,0,1,26.73,0.9994,normal
PROPOSED,20,2,14,0,0,1,25.85,0.9993,normal
PROPOSED,20,2,15,0,0,1,27.57,0.9995,normal
PROPOSED,20,2,16,0,0,1,27.70,0.9996,normal
PROPOSED,20,2,17,0,0,1,27.35,0.9995,normal
PROPOSED,20,2,18,0,0,1,26.25,0.9993,normal
PROPOSED,20,2,19,1,1,1,14.84,0.9870,inner_race
PROPOSED,20,2,20,1,1,1,15.19,0.9880,inner_race
PROPOSED,20,2,21,1,1,1,16.49,0.9909,inner_race
PROPOSED,20,2,22,1,1,1,15.94,0.9897,inner_race
PROPOSED,20,2,23,1,1,1,16.82,0.9916,inner_race
PROPOSED,20,2,24,1,1,1,16.47,0.9910,inner_race
PROPOSED,20,2,25,1,1,1,14.70,0.9856,inner_race
PROPOSED,20,2,26,1,1,1,15.60,0.9884,inner_race
PROPOSED,20,2,27,1,1,1,15.82,0.9886,inner_race
